"SITE";"ID";"TEXTE";"MOVE"
"G1";12;"Rapport ESG CWT 2022
En 2022, CWT est passé du statut d'entreprise responsable à celui de cadre environnemental, social et gouvernemental (ESG). Notre rapport ESG 2022 montre la profondeur et l'ampleur d'une décennie de travail et indique la voie à suivre pour les décennies à venir.
EN SAVOIR PLUS";5
"G1";13;"Podcast : Comment repérer les signes de changement dans les voyages d'affaires ?
Podcast : Comment repérer les signes de changement dans le domaine des voyages d'affaires ?
Joel Hanson, directeur du développement commercial de l'innovation mondiale de CWT, nous aide à repérer les signes subtils de changement qui contiennent les graines du paysage des voyages d'affaires de demain.
EN SAVOIR PLUS";5
"G1";14;"Une approche plus responsable des voyages
Nous pouvons vous aider à atteindre vos objectifs de durabilité en vous aidant à calculer, réduire et compenser l'empreinte de vos déplacements professionnels. Ensemble, nous faisons des choix de voyage responsables pour un avenir meilleur.
EN SAVOIR PLUS";5
"G1";15;"Parlons nous

Découvrez comment CWT peut vous aider
Si vous souhaitez savoir comment CWT peut vous aider et recevoir des communications sur nos produits et services, veuillez remplir ce formulaire. Nous vous contacterons pour prendre un rendez-vous et échanger ensemble. Vous pouvez à tout moment vous désinscrire de nos listings de communications en cliquant sur le lien “se désinscrire” présent sur tous nos emails.

PARLONS NOUS !";7
"G1";16;"Les solutions de CWT
Gestion des voyages d’affaires
Meetings & Events
Optimisation des voyages
Entreprise
Notre entreprise
La technologie chez CWT
Développement durable
Rejoignez-nous
Infos
Aide
Contacts en cas d’urgence
Se connecter à myCWT
TÉLÉCHARGEMENT DE L’APPLI";4
"G1";17;"Restez connectés";8
"G1";18;"L'utilisation de ce site Web signifie que vous acceptez les conditions d'utilisation  | Nous nous engageons à protéger les données personnelles des voyageurs de nos clients.

Lisez notre politique globale de confidentialité | Politique sur les cookies | Plan du site | ©2023 @CWT";3
"G2";19;"Delta Voyages";3
"G2";20;"L’AGENCE
VOYAGES
OFFRES
RÉSERVEZ EN LIGNE
CHALETS
VILLAS
AVANTAGES EXCLUSIFS
LISTES
BLOG
CONTACT";4
"G2";21;"Votre agence de voyages genevoise depuis 1978
Un service haut de gamme, un suivi personnalisé,
et une exigence pour le travail bien fait.";1
"G2";22;"Un service de premier rang à Genève
Fondée en 1978, DELTA VOYAGES se distingue depuis de nombreuses années par une approche très 
professionnelle de son métier, ainsi que par une qualité de service reconnue et appréciée de sa 
clientèle.
Installés au 28 quai du Seujet à Genève, nos 12 collaborateurs vous accueillent dans un cadre 
moderne et agréable, vous permettant de recevoir un service haut de gamme et personnalisé.";6
"G2";23;"Voyages loisirs
Vous rêvez de destinations inoubliables. Trouvez l’inspiration ou laissez-vous conseiller.

En savoir +";5
"G2";24;"Voyages d’affaires
Où que vous alliez à travers le monde, vous pouvez compter sur un service de premier rang en voyage d’affaires.

En savoir +";5
"G2";25;"ONG
Quel que soit votre engagement à travers votre ONG, vous pouvez bénéficier d’un service dédié et d’avantages compétitifs.

En savoir +";5
"G2";26;"Réservez vos vacances avec Delta Voyages
Prenez le temps de découvrir nos dernières offres et laissez nos conseillers vous inspirer sur une ou 
plusieurs destinations.
Séjour découverte, actif ou détente, toutes les variantes peuvent vous être proposées.";5
"G2";27;"Croisière « Découverte du Nil »
Croisière de 7 nuits sur le Nil en petit groupe francophone. Découvrez la Haute-Egypte, de Louxor à Assouan. Suivez la route des grands Pharaons.
Durée
7 nuits
Vols
Inclus
dès CHF 1’850-
VOIR L'OFFRE";5
"G2";28;"Sri Lanka – Cure Ayurveda
Expérience de bien-être unique au Sri Lanka avec Ayurveda à Ambarella Lodge, pour une remise en forme et retrouver l’équilibre.
Durée
7 jours
Vols
Non inclus
dès CHF 1’590.-
VOIR L'OFFRE";5
"G2";29;"Croisières PONANT 2024
Explorez l’Europe du Nord et la Scandinavie en 2024. De la Norvège enneigée aux terres celtes d’Écosse et d’Irlande, jusqu’aux villes baltiques.
Durée
7 à 11 nuits
Croisières
2024
EN SAVOIR +";5
"G2";30;"Voir toutes les offres et promotions Delta-voyages";4
"G2";31;"Gérez votre voyage

Réservation d’hôtels
Réservez vos hôtels sur Booking.com dès maintenant sur notre page dédiée.

Réservation de vols
Delta Voyages met à votre disposition un outil de réservation en ligne quelque soit votre destination.

Location de voitures
Les voitures de Sunny Cars vous accompagnent dans plus de 120 pays dans le monde.

Assurance voyage
Protégez-vous contre les événements imprévus et veiller à la tranquillité de vos vacances.";5
"G2";32;"RÉSERVEZ VOTRE PROCHAIN VOYAGE
CONTACT";7
"G2";33;"S'inscrire à la Newsletter
En m’inscrivant, j’accepte de recevoir des emails commerciaux de la part de Delta Voyages.
En savoir plus sur notre la protection des données (LPD).
Prénom
Nom
E-mail
S'abonner";8
"G2";34;"Quai du Seujet 28
CH – 1201 Genève
info@delta-voyages.ch

Accueil:        022 731.35.35
Affaires:        022 909.10.10
ONG:        022 909.10.10
Loisirs:        022 909.10.14";7
"G2";35;"REJOIGNEZ-NOUS";8
"G2";36;"Notre agence à Genève
Delta Voyages est une agence de voyages fondée en 1978 qui se distingue par une approche très professionnelle de son 

métier, ainsi qu’une qualité de service reconnue et appréciée de sa clientèle.";6
"G2";37;"
Service d’urgence 24h/24h
En dehors de nos heures d’ouverture, les voyageurs d’affaires peuvent joindre notre help desk au +41 22 518.39.88, contre 

une surtaxe de CHF 50.-
VOIR LES CONDITIONS";7
"G2";38;"Protection des données | Data protection declaration
© 2023 DELTA VOYAGES. All Rights Reserved.";3
"G3";39;"FERT ";3
"G3";40;"Accueil
Voyages
Voyages d’affaires & MICE
Voyages exclusifs
Transports
Espace Fert
Carrières
Partenariats
Contact";4
"G3";41;"La Maison FERT";1
"G3";42;"Fondée en 1871 à Genève, FERT est une entreprise multidimensionnelle privée spécialisée dans les expériences de voyage sur mesure pour les particuliers, les professionnels et la gestion d’événements. Le groupe est également actif dans le transport de vins prestigieux et dessert certaines des maisons de vente aux enchères et des marchands de vin les plus prestigieux du monde avec ses entrepôts dédiés et ses services.

Nos valeurs Notre héritage";5
"G3";43;"FERT ";3
"G3";44;"Voyages sur-mesure aux 4 coins du monde
Construisez votre voyage sur mesure grâce aux capsules d’expérience que nous vous proposons. Sur mesure et unique, donnez une dimension golf, yachting, culture ou encore insolite à votre séjour exceptionnel.
ACCÉDER AU SITE";5
"G3";45;"CONTACT";7
"G3";46;"FERT ";3
"G3";47;"Voyages d’affaires & Events Management
Avec plus de 90 ans d’expériences dans la gestion de voyages d’affaires, FERT assure un service sur mesure et confidentiel en accord avec l’évolution de vos                                                                               
                 besoins.
ACCÉDER AU SITE
";5
"G3";48;"CONTACT";7
"G3";49;"FERT ";3
"G3";50;"Voyages sur-mesure exclusifs
Bénéficiez de notre expérience pour réaliser le voyage de vos rêves. Un service de qualité, principalement à la carte, 
géré par nos experts dont les connaissances vous ouvriront des portes généralement difficile à franchir.
ACCÉDER AU SITE";5
"G3";51;"CONTACT";7
"G3";52;"FERT ";3
"G3";53;"Destination Suisse
Au service d’une clientèle étrangère qui fait appel à nos services. Notre équipe s’attelle à trouver des idées originales pour vous faire découvrir la Suisse.
ACCÉDER AU SITE";5
"G3";54;"CONTACT";7
"G3";55;"FERT ";3
"G3";56;"Transports
Précurseur dans l’importation du vin et le développement des techniques logistiques liées aux transports.
Notre expertise s’étend aujourd’hui non seulement aux  transports mais aussi au stockage et à 
la manutention ; ainsi qu’à notre agence en douane spécialisée pour les chevaux.
ACCÉDER AU SITE";5
"G3";57;"CONTACT";7
"G3";58;"FERT ";3
"G3";59;"Espace FERT
Idéalement aménagé pour accueillir vos événements, l’Espace FERT c’est 450m2 d’espace modulable pour vos événements au coeur de Genève.
ACCÉDER AU SITE";5
"G3";60;"CONTACT";7
"G3";61;"FERT ";3
"G3";62;"Contact
Rue Barton 7
1201 – Genève
Suisse

Email:info@fert.ch
Tél: +41 22 730 47 47";7
"G3";63;"Politique de confidentialité

Nos départements

Site général
Voyages
Voyages d’affaires & Events Management
Voyages Exclusifs
Transports
Espace FERT";4
"G3";64;"© 2022 Maison Fert & Cie | Tous droits réservés |";3
"G3";65;" Proposé par Digy.Web - Enfold Theme by Kriesi";9
"G3";66;"Conditions générales Politique de cookie";4
"G3";67;"Hotelplan";3
"G4";68;"Rechercher
Offres
Idées de voyage
Destinations
Autour du voyage
Durabilité

Liste de favoris
Compte personnel
Contact
Historique de recherche
Partager le lien
FR
";4
"G4";69;"Vacances avec HOTELPLAN: vol+hôtel, last minute, vacances balnéaires

Vol+Hôtel

Vol
Hôtel
Croisière
Circuits
Appartement
Destination
p.ex. Chypre ou offres spéciales
Période de voyage et durée
24.09.2023 – 18.07.2024 / 3-7 nuits
Chambres et voyageurs
1 Chambre, 2 Adultes
Rechercher";4
"G4";70;"Découvrez le Deal of the week, notre meilleure offre de vacances!";1
"G4";71;"Vous hésitez encore sur votre destination de voyage?
Trouvez de manière ludique les vacances qui vous conviennent.
Tentez votre chance maintenant";1
"G4";72;"Le moment de «vos vacances» est venu
Évadez-vous et partez à la découverte d’un autre univers! Tout est prêt.

Relaxez-vous sur les plages de sable blanc et sentez sur votre peau l’ardeur des rayons du 
soleil que la mer reflète. Baignez-vous dans la mer aux nuances de bleu des plus variées ou 
admirez l’immensité et la diversité de la nature lors d’un circuit.

Vous aimez varier les plaisirs? Explorez chaque jour de nouvelles contrées fascinantes, 
découvrez des cultures différentes lors d’une croisière et, entre deux escales, 
ressourcez-vous au bord de la piscine et respirez l’air marin ambiant.";5
"G4";73;"Profitez de notre service individualisé et de notre expérience éprouvée. C’est avec plaisir que nous nous occupons de vos vacances de A à Z et les adaptons à vos envies. 
Ainsi, vous avez l’esprit tranquille même avant vos vacances.";6
"G4";74;"Notre recommandation pour vous
Vol+Appartement
Top
Roccamare Resort, villas et appartements
Roccamare Resort, villas et appartements
Italie, Toscane du Sud, Castiglione della Pescaia
09.10.2023 – 12.10.2023, 3 nuits

Vol + Appartement, Sans repas
p. pers./à p. de CHF 522.–

";5
"G4";75;"Vol+Hôtel
H10 SENTIDO Playa Esmeralda
H10 SENTIDO Playa Esmeralda
Espagne, Fuerteventura, Costa Calma
11.01.2024 – 14.01.2024, 3 nuits

Vol + Hôtel, Petit-déjeuner
Transfert à p. de CHF 26.– p.p.

p. pers./à p. deCHF 630.–";5
"G4";76;"Vol+Hôtel
Sherwood Dreams Resort
Sherwood Dreams Resort
Turquie, Antalya & ses environs, Belek
09.01.2024 – 12.01.2024, 3 nuits

Vol + Hôtel, All inclusive plus
Transfert à p. de CHF 18.– p.p.

p. pers./à p. deCHF 369.–";5
"G4";77;"Gagnez et détendez-vous
Hotelplan tire au sort trois bons de voyage d’une valeur de CHF 500.- chacun pour vos prochaines vacances. Participez maintenant et avec un peu de chance, gagnez des crédits de vacances!

Participer maintenant";5
"G4";78;"Vacances balnéaires avec vol et hôtel
Riviera Turque / Turquie du Sud
Riviera Turque / Turquie du Sud
Turquie (255 offres)
7 nuits, 2 Adultes

p. pers./à p. deCHF 356.–";5
"G4";79;"Rhodes
Rhodes
Grèce (75 offres)
30 °C

7 nuits, 2 Adultes

p. pers./à p. deCHF 375.–";5
"G4";80;"Majorque
Majorque
Espagne (277 offres)
19 °C

7 nuits, 2 Adultes

p. pers./à p. deCHF 300.–";5
"G4";81;"AirEuropa

Avec Air Europa vers l'Amérique latine et d'autres destinations variées
Découvrir maintenant !";9
"G4";82;"Voyages intervilles
Barcelone
Barcelone
Espagne (79 offres)
12 °C

3 nuits, 2 Adultes

p. pers./à p. deCHF 324.–";5
"G4";83;"Lisbonne
Lisbonne
Portugal (49 offres)
15 °C

3 nuits, 2 Adultes

p. pers./à p. deCHF 306.–";5
"G4";84;"Paris
Paris
France (41 offres)
6 °C

3 nuits, 2 Adultes

p. pers./à p. deCHF 382.–";5
"G4";85;"Idées de voyages durables pour vous
Voyager durablement 
Voyager durablement
1 nuit, 2 Adultes

p. pers./à p. deCHF 26.–";5
"G4";86;"Avec sa voiture
Avec sa voiture
4 nuits, 2 Adultes

p. pers./à p. deCHF 80.–";5
"G4";87;"Voyages en Suisse
Voyages en Suisse
2 nuits, 2 Adultes

p. pers./à p. deCHF 102.–";5
"G4";88;"Air Canada
Aircanada
Découvrir les beautés de l'Amérique du Nord avec Air Canada!";9
"G4";89;"Encore plus d'idées de voyage
Vacances balnéaires
Vacances balnéaires
6 nuits, 2 Adultes

p. pers./à p. deCHF 247.–";5
"G4";90;"Vacances Premium
Vacances Premium
7 nuits, 2 Adultes

p. pers./à p. deCHF 402.–";5
"G4";91;"Vacances familiales
Vacances familiales
7 nuits, 2 Adultes, 1 Enfant

p. pers./à p. deCHF 356.–";5
"G4";92;"Hotelplan";3
"G4";93;"Pourquoi Hotelplan?
La qualité du service suisse depuis plus de 85 ans
Des conseils personnalisés et compétents en temps de crise
Un service complet avant, pendant et après votre voyage
Garantie de voyage: vos fonds sont assurés
Les meilleures offres de vacances à des prix raisonnables
Une permanence téléphonique 24 h/24 et 7 j/7, une aide fiable durant vos vacances";6
"G4";94;"
Internet–Travelshop
+41 21 310 20 00
Contact
Demande de chat
Lu au Ve: 09:00—21:00 | Sa: 09:00—16:00";7
"G4";95;"Votre avis sur notre site Internet
Votre avis anonyme sur notre site Internet";7
"G4";96;"Suivez-nous";8
"G4";97;"Mode de paiement:";5
"G4";98;"À notre sujet
Conditions générales
Protection des données
Mentions Légales
Emplois
";4
"G4";99;"© 2012–2023 Hotelplan
Suisse, MTCH SA";3
"G5";100;"Signature Voyages";3
"G5";101;"OFFRES
UNIVERS DU VOYAGE
CONSEILLERS
LOUNGES
NEWS
DE
FR
EN";4
"G5";102;"L’ART DE VOYAGER";1
"G5";103;"Resorts exclusifs, adresses confidentielles, city trips inspirants, croisières de luxe ou circuits 
exotiques vers les destinations les plus extraordinaires du monde – laissez-vous inspirer par le 
portefeuille de voyages premium de SIGNATURE VOYAGES.";6
"G5";104;"NOS CONSEILLERS

SIGNATURE VOYAGES est l’incarnation du plus grand savoir-faire suisse en matière de voyages. Nos collaborateurs de longue date possèdent une expertise approfondie et la compétence nécessaire pour répondre à vos questions les plus exigeantes et faire de votre prochain voyage sur mesure une expérience inoubliable. Prenez contact avec nous, la consultation personnalisée est notre priorité.

LES CONSEILLERS ";6
"G5";105;"UNIVERS DU VOYAGE
ESCAPADE ET DÉTENTE

LES VACANCES BALINÉAIRES 

LES VACANCES FAMILIALES 

LES CIRCUITS INDIVIDUELS 

VOYAGES INTERVILLES 

LES CROISIÈRES ";4
"G5";106;"NOS LOUNGES
Trouvez ici votre lounge SIGNATURE VOYAGES le plus proche et prenez rendez-vous dès ce jour 
pour une consultation personnelle, également possible en dehors des heures d’ouverture. 
Nos lounges exclusifs sont facilement accessibles en centre ville et offrent la discrétion 
souhaitée pour un service personnalisé et sur mesure.
VERS LES LOUNGES";5
"G5";107;"NEWS DE SIGNATURE VOYAGES

 
VACANCES BALINÉAIRES AU NANA…

Des vacances balnéaires pour le corps, l’âme et l’esprit! En Crète, la plus grande île de Grèce, on se laisse enchanter par l’hospitalité typique, la beauté de la nature, la cuisine et la culture authentiques, mais aussi par les…

LIRE LA SUITE ";5
"G5";108;"ESCAPADE CITADINE À ISTANBUL

Une escapade citadine à Istanbul est une immersion dans une culture différente. Marchandez au bazar en sirotant un thé Çay, observez l’agitation de la ville autour d’une chicha ou terminez la journée en vous relaxant au hammam. Istanbul…

LIRE LA SUITE ";5
"G5";109;"CONTACTEZ-NOUS

TÉLÉPHONES
CONTACT ⟶
LOUNGES ⟶
CONSEILLERS ⟶";7
"G5";110;"Mentions légales    Protection des données    Conditions générales    Médias    Sitemap";4
"G5";111;"
© 2023 SIGNATURE VOYAGES - Member of Hotelplan Suisse";3
"G6";112;"Trans Continental
Voyages-Travel";3
"G6";113;"NEWS SERVICES EN LIGNE  OFFRES  LIENS UTILES PRÉSENTATION  CONTACT";4
"G6";114;"Accueil
Contactez-nous pour organiser votre voyage";1
"G6";115;"Heures d’ouverture étendus

Chère Madame, Cher Monsieur,
La situation sanitaire s’est heureusement bien améliorée et nous pouvons enfin reprendre le cours normal de nos activités.
Dès le 1er mai, nos heures d’ouverture seront adaptées comme suit:
Agence de Florissant : ouverture du lundi au vendredi de 08h30 à 12h00 et de 13h00 à 18h00 
Agence des Eaux-Vives : ouverture du lundi au vendredi de 08h30 à 18h00 
Agence de Chêne : ouverture du lundi au vendredi de10h00 à 12h00 et de 14h00 à 16h00 et toujours sur rendez-vous
privatif si nécessaire.
Notre email central reste   :
info@transcontinental.ch
( chaque employé peut aussi être contacté directement – voir les références sous rubrique « contacts » )
Nos numéros de téléphone centraux :
+4122 347 27 27
+4122 909 83 83
+4122 869 18 18  ( chêne )
En cas d’urgence et en dehors de nos heures de bureau, notre service d’urgence est ouvert et joignable comme toujours par téléphone et e-mail.
+4122 518 39 77
Avec nos salutations les plus cordiales.
Votre équipe Transcontinental";5
"G6";116;"Offre expirée
Paul Guguin croisière
La référence de la croisière en Polynésie
Ponant / paul Gauguin Croisière
25 ans de Paul Gauguin
Offre spéciale Ponant pour l'occation des 25 ans du Paul Gauguin. ""Aboder des îles Polynésiennes à bord du Paul Gauguin est une expérience unique"".
Afficher l'offre";5
"G6";117;"Offre expirée
AMAN HOTELS INDONESIA
AMAN INDONESIE. L'Indonésie est un pays de transitions et de contrastes, où des plages envoûtantes marquent le seuil entre l'océan et la forêt tropicale ; où les traditions religieuses se déplacent d'île en d'île, et où les écozones d'Asie et d'Australie se rencontrent et se mêlent dans le détroit de Lombok.
Afficher l'offre";5
"G6";118;"Offre expirée
PRISE EN CHARGE GRATUITE DE VOS BAGAGES : VOYAGEZ LES MAINS LIBRES !
Offre exclusive : profitez gratuitement de notre service de collecte et d'enregistrement des bagages. Vous avez prévu de voyager cet été ? Bonne nouvelle, vous pouvez bénéficier gratuitement de notre service de collecte et d'enregistrement des bagages, proposé en partenariat avec AirPortr. 
Afficher l'offre";5
"G6";119;"Découvrir toutes nos offres";4
"G6";120;"Service online
Réservation de vols, hôtels, et voiture en ligne
Utilisez nos services en ligne pour réserver votre voyage en quelques clics
Réserver en ligne";5
"G6";121;"Pour offrir
Bons cadeaux et listes de mariage en ligne
Offrez un voyage de rêve. Choisissez le montant, ils choisiront leur destinations!
Offrir un voyage";5
"G6";122;"Prêt à partir? Retrouvez-nous dans une de nos agences
Agence de Florissant
66, route de Florissant
CH-1206 Genève
T +41 22 347 27 27
F +41 22 347 86 60
N° d’urgence : +41 22 518 39 77
info@transcontinental.ch

Horaires d’ouverture :
du Lundi au Vendredi
de 08h30 à 12h00 et de 13h00 à 18h00

Agence de Chêne
48, rue de Genève
CH-1225 Chêne-Bourg
T +41 22 869 18 18
F +41 22 869 18 10
N° d’urgence : +41 22 518 39 77
chene@transcontinental.ch

Horaires d’ouverture :
du Lundi au Vendredi
de 10h00 à 12h00 et de 14h00 à 16h00
autres pages horaires sur rendez-vous privatif

Agence de Eaux Vives
17, rue du 31 décembre
CH-1207 Genève
T +4122 909 83 83
info@transcontinental.ch

Horaires d’ouverture :
du lundi au vendredi de 08h30 à 18h00";7
"G6";123;"Plan
Satellite";7
"G6";124;"Programmez votre prochain voyage
Contactez-nous";7
"G6";125;"© Transcontinental 2023";3
"G6";126;"Flickr Twitter Facebook Suivre Parta";8
"G7";127;"Réserver dès maintenant vos vacances d'automne à la dernière minute !";1
"G7";128;"Kuoni";3
"G7";129;"Conseils";7
"G7";130;"CONSULTATION
RÉSERVER EN LIGNE
MONDES THÉMATIQUES
DESTINATIONS
RÉCITS DE VOYAGE";4
"G7";131;"Kuoni – pour les plus beaux jours de l’année
Un bon conseil est un conseil personnel, professionnel et simple. Au moyen d’outils de conseil novateurs, nous explorons vos souhaits, vos besoins individuels sont au coeur de chaque entretien-conseils.

Que vous réserviez en ligne ou par l’intermédiaire d’une agence de voyages : nous sommes toujours là pour nos clients – avant, pendant et après le voyage.";6
"G7";132;"DÉCOUVREZ KUONI
 Types de voyages
 Experts & agences de voyages
 Conseil
 Destinations
 8 raisons pour Kuoni";4
"G7";133;"
Types de voyages
La diversité infinie des voyages – chez Kuoni, vos rêves de vacances deviennent réalité. Laissez-vous inspirer.

Vacances balnéaires
En savoir plus

Circuits
En savoir plus

Vacances sportives et actives
En savoir plus

Vacances en famille
En savoir plus

Durabilité
En savoir plus

Voyages de noces
En savoir plus

Voyages de golf
En savoir plus

Villas de luxe
En savoir plus

Réservez en ligne
Réservez facilement en ligne les voyages à forfait et les hôtels de Kuoni et d'autres tour-opérateurs renommés.";4
"G7";134;"STAR ALLIANCE
BILLET TOUR DU MONDE";9
"G7";135;"Réservez en ligne
Réservez facilement en ligne les voyages à forfait et les hôtels de Kuoni et d'autres tour-opérateurs renommés.

Vous profitez en même temps de notre service Kuoni éprouvé. Votre réservation en ligne sera gérée de manière professionnelle 
par l’une de nos agences de voyages Kuoni près de chez vous et votre expert du voyage se fera un plaisir 
de vous assister en cas de questions.";6
"G7";136;"BALNÉAIRES
HÔTELS
égal
Destination
03.10.2023
Départ le plus proche
24.10.2023
Retour au plus tard
1 semaine
Durée du séjour
4 choisi
✕
Départ
2 Adultes | 0 Enfants
Participants
seulement offres de Kuoni
Chercher";4
"G7";137;"Experts en voyages
Plus de 400 spécialistes dans 80 agences de voyages sont à votre disposition pour organiser le voyage de vos rêves.
Experts en voyages
Agences de voyage
 ";6
"G7";138;"Rendez-vous de conseil
Votre rêve de voyage – notre plus beau défi. Nous vous conseillons volontiers de manière flexible :
à l'agence de voyages   
par téléphone 
par vidéo
Courriel
Prendre rendez-vous";7
"G7";139;"Kuoni Specialists
Grâce à leurs nombreuses années d’expérience et à leur connaissance approfondie de tous les continents 
et de tous les types de voyage, nos Kuoni Specialists vous garantissent des conseils compétents et 
un voyage répondant parfaitement à vos attentes.";6
"G7";140;"elsewhere by Kuoni
Dans la rubrique « elsewhere by Kuoni », les nombreuses facettes de l'inspiration se rencontrent : 
récits de voyage, vidéos, photos - les expériences les plus impressionnantes des clients, mais 
aussi des experts en voyages de Kuoni.

Récits de voyage
Découvrez les plus beaux endroits du monde avec nos auteurs et profitez de leurs conseils pour vos propres vacances.
Tous les récits de voyage
Égée turque
Récit de voyage
Bodrum - culinaire et moderne";5
"G7";141;"Destinations
Avec Kuoni, explorez le monde. Découvrez ici les destinations les plus populaires de nos clients ou parcourez notre offre mondiale et trouvez la destination parfaite 

pour vos vacances de rêve.


Îles Canaries

Caraïbes

Maldives

Islande

Finlande

Tanzanie

Égypte

Thaïlande

Costa Rica

Toute les destinations";5
"G7";142;"8 raisons
de réserver ton voyage de rêve chez Kuoni.

8 raisons pour Kuoni
Connaissances d’experts ? Nous sommes votre partenaire n°1
Conseiller de voyage personnel ? Même pour votre réservation en ligne !
Voyager en toute sécurité ? Mais bien sûr !
Rester flexible ? Oui, grâce à nos tarifs flexibles !
La manière dont vous souhaitez arriver ? C’est vous qui décidez !
Vous souhaitez de l’individualité ? C’est notre spécialité.
La durabilité vous tient à cœur ? À nous aussi !
Vacances en Suisse ? Découvrez notre portefeuille exclusif.
En savoir plus";6
"G7";143;"Suivre Kuoni";8
"G7";144;"S'ABONNER À LA NEWSLETTER
E-Mail
Envoyer";8
"G7";145;"TourCert 
Garantie de voyage
Fédération suisse du voyage
Trusted Travel Team";9
"G7";146;"© 2023 DER Touristik Suisse AG";3
"G7";147;"Protection des données
Mentions légales
CGA
Paramètres des cookies";4
"G8";148;"Rechercher";4
"G8";149;"Lets Travel
Votre artisan du voyage";3
"G8";150;"Accueil
 
Destinations
 
Offres spéciales
 
Nos brochures de voyages
 
Lets Travel & Vous
 
Contact";4
"G8";151;"« Vivre l’expérience des Seychelles en un seul grand Wow »
C’est le nouveau slogan de l’Office du Tourisme des Seychelles qui vous invite à découvrir la grande diversité de ses îles offrant mille et une activités pour satisfaire les goûts et intérêts de chaque visiteur.
En savoir plus...";9
"G8";152;"Envie de partir bientôt ?
Découvrez nos meilleures offres !

Afrique du Sud et Mozambique
15 jours / 12 nuits
Partez à la découverte de l’Afrique Australe, de Johannesbourg au Parc Kruger en passant par le Blyde River 
Canyon et détendez-vous sur les plages paradisiaques du Mozambique.
Dès CHF 4790.-
en savoir+

Merveilles du Japon
15 jours / 12 nuits
Entre gigantesque mégalopole, volcan sacré et trésors millénaires, soyez émerveillés par la diversité 
du Japon accompagnés par un guide francophone.
Dès CHF 6850.-
en savoir+

Combiné d’îles aux Seychelles
13 jours / 10 nuits
Profitez de cette offre au départ de Suisse pour découvrir 3 fantastiques îles des Seychelles: Praslin, 
La Digue et Mahé en séjournant dans des hôtels de charme.
Dès CHF 3850.-
en savoir+

Voir plus d'offres...";5
